,대피시설명,주소,평시활용 유형,대피시설 면적,경도,위도
1322,이랜드해가든아파트(단지내 지하주차장 전체),서울특별시 서대문구 수색로 157 (북가좌동 이랜드해가든아파트),주차장,2000.0,126.903486,37.57618
1323,신일해피트리아파트(단지내 지하주차장 전체),서울특별시 서대문구 수색로 147-1 (북가좌동 북가좌신일해피트리아파트),주차장,2000.0,126.904479,37.575212
1324,임광아파트101동 102동 지하주차장,서울특별시 서대문구 동교로 291 (연희동 연희동임광아파트),주차장,5590.0,126.927365,37.565346
1329,래미안남가좌2차아파트(전동지하),서울특별시 서대문구 수색로6길 43 (남가좌동 래미안남가좌2차아파트),주차장,4500.0,126.912434,37.572558
1330,이화여자대학교(지하주차장),서울특별시 서대문구 이화여대길 52 (대현동 이화여자대학교),주차장,22525.0,126.950288,37.564464
1331,명지전문대학(지하주차장),서울특별시 서대문구 가좌로 134 (홍은동 명지전문대학),주차장,6254.0,126.925692,37.585365
1332,세브란스병원,서울특별시 서대문구 연세로 50-1 (신촌동 연세의료원),공공시설,10193.0,126.940824,37.561407
1333,(주)풍산,서울특별시 서대문구 충정로 23 (충정로3가 풍산빌딩),주차장,2445.0,126.962916,37.561109
1334,천연동돈의문센트레빌 아파트1주차장,서울특별시 서대문구 독립문로14길 33 (냉천동 돈의문센트레빌),주차장,2500.0,126.959288,37.56592
1338,독립문 파크빌 아파트 지하주차장(전동),서울특별시 서대문구 통일로 279-75 (현저동),주차장,2000.0,126.951169,37.574975
1339,연희성원아파트(제1주차장),서울특별시 서대문구 연희로32길 48 (연희동 연희동성원아파트),주차장,871.0,126.937262,37.575861
1341,연희성원상떼빌2차팰리스(201동지하주차장),서울특별시 서대문구 연희로28길 35-28 (연희동),주차장,902.0,126.938077,37.575814
1344,DMC래미안e편한세상아파트1단지 지하주차장,서울특별시 서대문구 수색로 100 (북가좌동),주차장,4000.0,126.907817,37.574728
1348,방학동이에스에이2단지,서울특별시 도봉구 도봉로150길43,주차장,12220.4,127.045588,37.666386
1349,방학동이에스에이3단지,서울특별시 도봉구 도봉로150길 41,주차장,5445.74,127.044837,37.666061
1351,북한산코오롱하늘채아파트,서울특별시 도봉구 우이천로39길 11-16,주차장,13178.16,127.0206,37.649319
1352,방학동이에스에이1단지,서울특별시 도봉구 마들로657,주차장,20346.74,127.045484,37.668562
1353,금용아파트,서울특별시 도봉구 노해로170-0,주차장,3966.95,127.02797,37.649224
1356,현대1차아파트지하대피소,서울특별시 도봉구 해등로242-12,주차장,809.92,127.031221,37.658528
1358,극동아파트,서울특별시 도봉구 시루봉로11길25-5,주차장,2112.41,127.026838,37.664323
1359,도봉구민회관지하대피소,서울특별시 도봉구 도봉로552,공공시설,1619.84,127.038604,37.654001
1360,창5동주민센터,서울특별시 도봉구 도봉로136나길20,공공시설,660.0,127.043481,37.65621
