호선,역사명,정거장층수,형식,지반고(m),레일면고(m),선로기준정거장깊이(m),승강장기준정거장깊이(m),비고
5,영등포시장,B6,상대식,109.4,72.52,36.88,35.78,
5,신길,B4,상대식,108.9,88.2,20.7,19.6,1호선환승
5,여의도,B4,상대식,113.5,84.62,28.88,27.78,
5,여의나루,B5,섬식,111,73.92,37.08,35.98,
5,마포,B5,섬식,109.56,78.65,30.91,29.81,
5,공덕,B3,섬식,112.46,91.07,21.39,20.29,6호선환승
5,애오게,B4,상대식,121.69,96.09,25.6,24.5,
5,충정로,B5,섬식,143.21,111.17,32.04,30.94,2호선환승
5,서대문,B4,섬식,135.3,109.77,25.53,24.43,
5,광화문,B4,섬식,131.19,105.69,25.5,24.4,
5,종로3가,B5,섬식,127.48,96.18,31.3,30.2,"1,3호선환승"
5,을지로4가,B5,섬식,122.67,95.06,27.61,26.51,2호선환승
5,동대문운동장,B5,섬식,123.85,93.46,30.39,29.29,"2,4호선환승"
5,청구,B4,섬식,125.41,101.44,23.97,22.87,6호선환승
5,신금호,B8,섬식,159.03,115.77,43.26,42.16,최대심도역
5,행당,B5,상대식,124.99,96.86,28.13,27.03,
5,왕십리,B5,상대식,122.42,92.54,29.88,28.78,"2호선,국철환승"
5,마장,B3,상대식,113.93,95.75,18.18,17.08,
5,답십리,B3,상대식,112.14,91.44,20.7,19.6,
5,장한평,B3,섬식,112.75,90.26,22.49,21.39,
5,군자,B2,섬식,116.3,101.96,14.34,13.24,7호선환승
5,아차산,B3,상대식,135.39,113.96,21.43,20.33,
5,광나루,B3,상대식,119.92,99.7,20.22,19.12,
5,천호,B3,상대식,117,96,21,19.9,8호선환승
5,강동,B3,섬식(복합),122.5,99.18,23.32,22.22,
5,길동,B3,상대식,119.1,96.83,22.27,21.17,
5,굽은다리,B2,상대식,121.14,105.72,15.42,14.32,
5,명일,B2,상대식,132.57,116.31,16.26,15.16,
5,고덕,B2,상대식,132.53,114.95,17.58,16.48,
5,상일동,B2,섬식(복합),121.72,107.71,14.01,12.91,
5,둔촌,B2,상대식,117.97,100.23,17.74,16.64,
5,올림픽공원,B3,상대식,119.76,100.85,18.91,17.81,
5,방이,B2,상대식,120.44,105.27,15.17,14.07,
5,오금,B2,상대식,129.24,110.17,19.07,17.97,
5,개롱,B2,상대식,129.21,113.69,15.52,14.42,
5,거여,B3,상대식,133.47,115.15,18.32,17.22,
5,마천,B4,상대식,144.84,117.61,27.23,26.13,
5,미사,B2,상대식,121.91,105.91,16,14.9,
5,하남풍산,B2,상대식,124.41,106.79,17.62,16.52,
5,하남시청,B2,상대식,126.19,105.69,20.5,19.4,
5,하남검단산,B2,상대식,122.93,96.54,26.39,25.29,
6,응암,B3,섬식,117.58,98.57,19.01,17.91,
6,역촌,B4,상대식,121.97,93.83,28.14,27.04,
6,불광,B5,상대식,127.67,97.42,30.25,29.15,3호선환승
6,독바위,B6,상대식,138.67,100.73,37.94,36.84,
6,연신내,B5,상대식,126.69,97.27,29.42,28.32,3호선환승
6,구산,B4,상대식,121.11,94.59,26.52,25.42,
6,새절,B2,섬식,115.83,100.39,15.44,14.34,
6,증산,B2,상대식,114.89,99.13,15.76,14.66,
6,DMC,B2,상대식,114,101.33,12.67,11.57,
6,월드컵경기장,B2,상대식,113.78,96.48,17.3,16.2,
6,마포구청,B3,상대식,115.84,94.68,21.16,20.06,
6,망원,B2,상대식,109.49,94.64,14.85,13.75,
6,합정,B4,상대식,118.46,93.07,25.39,24.29,2호선환승
6,상수,B3,섬식,118.28,95.65,22.63,21.53,
6,광흥창,B3,섬식,113.67,91.35,22.32,21.22,
6,대흥,B3,섬식,114.97,94.1,20.87,19.77,
6,공덕,B2,상대식,112.13,97.65,14.48,13.38,5호선환승
6,효창공원앞,B3,섬식,113.28,92.85,20.43,19.33,
6,삼각지,B4,섬식,113.46,91.71,21.75,20.65,4호선환승
6,녹사평,B5,섬식,141.03,106.81,34.22,33.12,
6,이태원,B5,섬식,152.52,117.87,34.65,33.55,
6,한강진,B5,상대식,147.18,120.4,26.78,25.68,
6,버티고개,B5,상대식,168.27,122.52,45.75,44.65,최대심도역
6,약수,B4,상대식,137.95,111.88,26.07,24.97,3호선환승
6,청구,B2,상대식,125.8,111.76,14.04,12.94,5호선환승
6,신당,B3,섬식,121.31,99.48,21.83,20.73,2호선환승
6,동묘앞,B3,섬식,119.91,97.18,22.73,21.63,1호선환승
6,창신,B4,섬식,136,109.45,26.55,25.45,
6,보문,B3,섬식,124.45,107.44,17.01,15.91,
6,안암,B3,상대식,127.61,107.48,20.13,19.03,
6,고려대,B4,상대식,125.24,94.25,30.99,29.89,
