,clust,법정동코드,읍면동주소,code,sido,gu,dong,lat,lng
291,4,12000,서교동,1144066000,서울특별시,마포구,서교동,37.553838,126.918765
293,3,12100,동교동,1144012100,서울특별시,마포구,동교동,37.55765,126.925663
294,4,12200,합정동,1144068000,서울특별시,마포구,합정동,37.547027,126.909029
296,4,12300,망원동,1144012300,서울특별시,마포구,망원동,37.55662,126.903976
297,4,12400,연남동,1144071000,서울특별시,마포구,연남동,37.563027,126.921519
299,4,12500,성산동,1144012500,서울특별시,마포구,성산동,37.563317,126.91087
300,1,12600,중동,1144012600,서울특별시,마포구,중동,37.5704,126.907656
301,1,12700,상암동,1144074000,서울특별시,마포구,상암동,37.570748,126.87984
303,1,1147010100,신정동,1144011700,서울특별시,양천구,신정동,37.521636,126.857957
305,8,10200,목동,1147010200,서울특별시,양천구,목동,37.539776,126.869079
306,4,10300,신월동,1147010300,서울특별시,양천구,신월동,37.529444,126.834248
307,1,1150010100,염창동,1150051000,서울특별시,강서구,염창동,37.554552,126.871764
309,4,10200,등촌동,1150010200,서울특별시,강서구,등촌동,37.551325,126.858411
310,4,10300,화곡동,1150010300,서울특별시,강서구,화곡동,37.538358,126.847336
311,4,10400,가양동,1150010400,서울특별시,강서구,가양동,37.568238,126.845059
312,1,10500,마곡동,1150010500,서울특별시,강서구,마곡동,37.566092,126.830395
313,1,10600,내발산동,1150010600,서울특별시,강서구,내발산동,37.552616,126.83573
314,7,10700,외발산동,1150010700,서울특별시,강서구,외발산동,37.546721,126.821871
315,4,10800,공항동,1150062000,서울특별시,강서구,공항동,37.554779,126.810453
317,4,10900,방화동,1150010900,서울특별시,강서구,방화동,37.569138,126.812192
318,3,11000,개화동,1150011000,서울특별시,강서구,개화동,37.582069,126.801198
319,5,11300,오쇠동,1150011300,서울특별시,강서구,오쇠동,37.541148,126.796575
320,1,1153010100,신도림동,1153051000,서울특별시,구로구,신도림동,37.509951,126.882174
322,4,10200,구로동,1153010200,서울특별시,구로구,구로동,37.4929,126.886427
323,9,10300,가리봉동,1153059500,서울특별시,구로구,가리봉동,37.482704,126.888019
325,4,10600,고척동,1153010600,서울특별시,구로구,고척동,37.50356,126.855829
326,4,10700,개봉동,1153010700,서울특별시,구로구,개봉동,37.49497,126.851409
327,4,10800,오류동,1153010800,서울특별시,구로구,오류동,37.494129,126.840746
328,4,10900,궁동,1153010900,서울특별시,구로구,궁동,37.49687,126.831303
329,4,11000,온수동,1153011000,서울특별시,구로구,온수동,37.493507,126.820255
330,4,11000,천왕동,1153011100,서울특별시,구로구,천왕동,37.482016,126.841789
331,1,11200,항동,1153011200,서울특별시,구로구,항동,37.484059,126.82298
332,4,11545210100,가산동,1154551000,서울특별시,금천구,가산동,37.476681,126.883767
334,4,10200,독산동,1154510200,서울특별시,금천구,독산동,37.469371,126.901246
335,4,10300,시흥동,1154510300,서울특별시,금천구,시흥동,37.453325,126.906222
336,4,1156010100,영등포동,1156053500,서울특별시,영등포구,영등포동,37.513786,126.906901
338,3,10200,영등포동1가,1156010200,서울특별시,영등포구,영등포동1가,37.51771,126.913057
339,3,10300,영등포동2가,1156010300,서울특별시,영등포구,영등포동2가,37.520839,126.910094
340,3,10400,영등포동3가,1156010400,서울특별시,영등포구,영등포동3가,37.518155,126.907998
341,3,10500,영등포동4가,1156010500,서울특별시,영등포구,영등포동4가,37.517981,126.903506
342,3,10600,영등포동5가,1156010600,서울특별시,영등포구,영등포동5가,37.521133,126.907084
343,3,10700,영등포동6가,1156010700,서울특별시,영등포구,영등포동6가,37.521556,126.90309
344,0,10800,영등포동7가,1156010800,서울특별시,영등포구,영등포동7가,37.524619,126.90667
345,0,10900,영등포동8가,1156010900,서울특별시,영등포구,영등포동8가,37.527015,126.905253
346,8,11000,여의도동,1156011000,서울특별시,영등포구,여의도동,37.524371,126.925958
347,3,11100,당산동1가,1156011100,서울특별시,영등포구,당산동1가,37.522336,126.898748
348,0,11200,당산동2가,1156011200,서울특별시,영등포구,당산동2가,37.522967,126.892688
349,1,11300,당산동3가,1156011300,서울특별시,영등포구,당산동3가,37.525551,126.896668
350,1,11400,당산동4가,1156011400,서울특별시,영등포구,당산동4가,37.528887,126.898848
351,1,11500,당산동5가,1156011500,서울특별시,영등포구,당산동5가,37.532856,126.899187
352,3,11600,당산동6가,1156011600,서울특별시,영등포구,당산동6가,37.534373,126.903445
353,0,11700,당산동,1156011700,서울특별시,영등포구,당산동,37.528625,126.907439
354,9,11800,도림동,1156058500,서울특별시,영등포구,도림동,37.509105,126.900533
356,6,12000,문래동2가,1156012000,서울특별시,영등포구,문래동2가,37.51329,126.893779
357,1,12100,문래동3가,1156012100,서울특별시,영등포구,문래동3가,37.516929,126.897249
358,0,12200,문래동4가,1156012200,서울특별시,영등포구,문래동4가,37.515082,126.890475
359,0,12300,문래동5가,1156012300,서울특별시,영등포구,문래동5가,37.515863,126.885676
360,1,12400,문래동6가,1156012400,서울특별시,영등포구,문래동6가,37.519342,126.886528
361,3,12500,양평동1가,1156012500,서울특별시,영등포구,양평동1가,37.523571,126.888814
362,0,12600,양평동2가,1156012600,서울특별시,영등포구,양평동2가,37.52427,126.884578
363,1,12700,양평동3가,1156012700,서울특별시,영등포구,양평동3가,37.528148,126.889731
364,4,12800,양평동4가,1156012800,서울특별시,영등포구,양평동4가,37.537079,126.89626
365,0,12900,양평동5가,1156012900,서울특별시,영등포구,양평동5가,37.538964,126.893422
366,0,13000,양평동6가,1156013000,서울특별시,영등포구,양평동6가,37.542645,126.890065
367,4,13200,신길동,1156013200,서울특별시,영등포구,신길동,37.507088,126.913103
368,9,13300,대림동,1156013300,서울특별시,영등포구,대림동,37.494306,126.900642
369,4,1159010100,노량진동,1159010100,서울특별시,동작구,노량진동,37.510162,126.940418
370,4,10200,상도동,1159010200,서울특별시,동작구,상도동,37.499206,126.940385
371,4,10300,상도1동,1159010300,서울특별시,동작구,상도1동,37.502889,126.950645
372,1,10400,본동,1159010400,서울특별시,동작구,본동,37.511491,126.954336
373,1,10500,흑석동,1159060500,서울특별시,동작구,흑석동,37.505492,126.962317
375,0,10600,동작동,1159010600,서울특별시,동작구,동작동,37.496605,126.980985
376,4,10700,사당동,1159010700,서울특별시,동작구,사당동,37.483974,126.974999
377,1,10800,대방동,1159066000,서울특별시,동작구,대방동,37.506879,126.927994
379,4,10900,신대방동,1159010900,서울특별시,동작구,신대방동,37.492678,126.917721
380,4,1162010100,봉천동,1162010100,서울특별시,관악구,봉천동,37.482717,126.949951
381,4,10200,신림동,1162069500,서울특별시,관악구,신림동,37.463204,126.935795
383,4,10300,남현동,1162063000,서울특별시,관악구,남현동,37.464115,126.977754
385,8,1165010100,방배동,1165010100,서울특별시,서초구,방배동,37.484677,126.989955
386,1,10200,양재동,1165010200,서울특별시,서초구,양재동,37.474839,127.041717
387,1,10300,우면동,1165010300,서울특별시,서초구,우면동,37.466629,127.021892
388,8,10600,잠원동,1165054000,서울특별시,서초구,잠원동,37.515102,127.009083
390,8,10700,반포동,1165010700,서울특별시,서초구,반포동,37.502816,127.010493
391,8,10800,서초동,1165010800,서울특별시,서초구,서초동,37.488514,127.016222
392,0,10900,내곡동,1165066000,서울특별시,서초구,내곡동,37.458154,127.076727
394,3,11000,염곡동,1165011000,서울특별시,서초구,염곡동,37.462035,127.052837
395,0,11100,신원동,1162065500,서울특별시,관악구,신원동,37.481698,126.927268
397,8,1168010100,역삼동,1168010100,서울특별시,강남구,역삼동,37.500335,127.037596
398,1,10300,개포동,1168010300,서울특별시,강남구,개포동,37.47826,127.052024
399,8,10400,청담동,1168056500,서울특별시,강남구,청담동,37.524399,127.050457
401,8,10500,삼성동,1162074500,서울특별시,관악구,삼성동,37.470135,126.933007
