"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","비상시설위치","시설구분명","시설명_건물명","해제일자"
"3210000","3210000-S200800095","20080901","20190228","04","취소/말소/만료/정지/중지","19","사용중지","20190228","","","","","789","","서울특별시 서초구 반포동 1번지 1호","서울특별시 서초구 신반포로19길 10 (반포동 신반포3지구아파트)","06505","신반포 3지구25동","20190313150903","U","2019-03-15 02:40:00.0","","199692.409380395    ","444953.682162516    ","서울특별시 서초구 반포동 1번지 1호","공공시설","신반포 3지구25동","20190228"
"3210000","3210000-S200800096","20080901","20190228","04","취소/말소/만료/정지/중지","19","사용중지","20190228","","","","","280","","서울특별시 서초구 방배동 455번지 10호","서울특별시 서초구 방배천로 54 (방배동 서울방배경찰서)","06677","방배경찰서","20190313151305","U","2019-03-15 02:40:00.0","","198428.39578533     ","442135.231855604    ","서울특별시 서초구 방배동 455번지 10호","공공시설","방배경찰서","20190228"
"3210000","3210000-S200800097","20080901","20190228","04","취소/말소/만료/정지/중지","19","사용중지","20190228","","","","","1610","","서울특별시 서초구 반포동 12번지","서울특별시 서초구 신반포로15길 5 (반포동 신반포15차아파트)","06503","신반포15차아파트","20190313150926","U","2019-03-15 02:40:00.0","","199367.291009454    ","444618.275228343    ","서울특별시 서초구 반포동 12번지","공공시설","신반포15차아파트","20190228"
"3210000","3210000-S200800098","20080901","20190228","04","취소/말소/만료/정지/중지","19","사용중지","20190228","","","","","783","","서울특별시 서초구 반포동 1번지 1호","서울특별시 서초구 신반포로19길 10 (반포동 신반포3지구아파트)","06505","신반포 3지구 36동","20190313151000","U","2019-03-15 02:40:00.0","","199692.409380395    ","444953.682162516    ","서울특별시 서초구 반포동 1번지 1호","공공시설","신반포 3지구 36동","20190228"
"3210000","3210000-S200800099","20080901","20190228","04","취소/말소/만료/정지/중지","19","사용중지","20190228","","","","","2390","","서울특별시 서초구 반포동 1번지 8호","서울특별시 서초구 신반포로 137 (반포동 경남아파트)","06506","경남아파트","20190313151030","U","2019-03-15 02:40:00.0","","199848.409437198    ","444956.349717008    ","서울특별시 서초구 반포동 1번지 8호","공공시설","경남아파트","20190228"
"3210000","3210000-S200800100","20080901","20190228","04","취소/말소/만료/정지/중지","19","사용중지","20190228","","","","","954","","서울특별시 서초구 반포동 12번지","서울특별시 서초구 신반포로15길 5 (반포동 신반포15차아파트)","06503","신반포 15차@","20190313151054","U","2019-03-15 02:40:00.0","","199367.291009454    ","444618.275228343    ","서울특별시 서초구 반포동 12번지","공공시설","신반포 15차@","20190228"
"3210000","3210000-S200800101","20080901","","01","영업/정상","18","사용중","","","","","","13939","","서울특별시 동작구 사당동 1129번지","서울특별시 동작구 남부순환로 지하 2089 (사당동 사당역(2호선))","07025","사당역 2호선","20211014172457","U","2021-10-16 02:40:00.0","","197839.678764919    ","441582.949309562    ","서울특별시 동작구 사당동 1129번지","공공시설","사당역 2호선",""
"3210000","3210000-S200800102","20080901","20190228","04","취소/말소/만료/정지/중지","19","사용중지","20190228","","","","","917","","서울특별시 서초구 반포동 1번지 8호","서울특별시 서초구 신반포로 137 (반포동 경남아파트)","06506","경남아파트 6동","20190313151121","U","2019-03-15 02:40:00.0","","199848.409437198    ","444956.349717008    ","서울특별시 서초구 반포동 1번지 8호","공공시설","경남아파트 6동","20190228"
"3210000","3210000-S200800103","20080901","20190228","04","취소/말소/만료/정지/중지","19","사용중지","20190228","","","","","548","","서울특별시 서초구 반포동 1번지 8호","서울특별시 서초구 신반포로 137 (반포동 경남아파트)","06506","경남아파트 9동","20190313151141","U","2019-03-15 02:40:00.0","","199848.409437198    ","444956.349717008    ","서울특별시 서초구 반포동 1번지 8호","공공시설","경남아파트 9동","20190228"
"3210000","3210000-S200800104","20080901","","01","영업/정상","18","사용중","","","","","","9875","","서울특별시 서초구 반포동 10번지","서울특별시 서초구 신반포로15길 4 (반포동 반포푸르지오아파트)","06504","반포 푸르지오아파트","20211014132407","U","2021-10-16 02:40:00.0","","199616.729723265    ","444630.46228587     ","서울특별시 서초구 반포동 10번지","공공시설","반포 푸르지오아파트",""
