,호선_x,역번호,역명,경도,위도,호선_y,역사명,정거장층수,형식,지반고(m),레일면고(m),선로기준정거장깊이(m),승강장기준정거장깊이(m),비고
201,7,2725,용마산,127.086802,37.573752,7,용마산,B4,상대식,145.41,115.6,29.81,28.71,
202,7,2726,중곡,127.084291,37.565877,7,중곡,B3,상대식,124.93,107.04,17.89,16.79,
203,7,2728,어린이대공원,127.07465,37.547962,7,어린이대공원,B3,상대식,120.93,101.76,19.17,18.07,
204,7,2730,뚝섬유원지,127.066714,37.531558,7,뚝섬유원지,고가,상대식,115.28,128.47,-13.19,-14.29,
205,7,2731,청담,127.051851,37.519097,7,청담,B4,섬식,141.38,117.51,23.87,22.77,
206,7,2732,강남구청,127.04122,37.517185,7,강남구청,B3,상대식,150.75,127.93,22.82,21.72,분당선환승
207,7,2733,학동,127.031738,37.514262,7,학동,B3,상대식,137,114.55,22.45,21.35,
208,7,2734,논현,127.021385,37.511108,7,논현,B3,상대식,126.72,103.75,22.97,21.87,
209,7,2735,반포,127.011717,37.508171,7,반포,B3,상대식,113.37,92.77,20.6,19.5,
210,7,2737,내방,126.993541,37.48764,7,내방,B3,상대식,115.5,93.13,22.37,21.27,
211,7,2739,남성,126.971108,37.484688,7,남성,B3,상대식,122.3,99.8,22.5,21.4,
212,7,2740,숭실대입구,126.953649,37.496258,7,숭실대,B6,상대식,171.78,126.15,45.63,44.53,최대심도역
213,7,2741,상도,126.947949,37.50279,7,상도,B3,상대식,140.86,118.85,22.01,20.91,
214,7,2742,장승배기,126.939025,37.504845,7,장승배기,B3,상대식,131.37,108.98,22.39,21.29,
215,7,2743,신대방삼거리,126.928218,37.499717,7,신대방,B3,상대식,124.16,101.72,22.44,21.34,
216,7,2744,보라매,126.920112,37.499916,7,보라매,B2,섬식,118.51,102.77,15.74,14.64,
217,7,2745,신풍,126.909806,37.500107,7,신풍,B2,상대식,116.32,99.98,16.34,15.24,
218,7,2747,남구로,126.887372,37.486181,7,남구로,B5,상대식,123.55,90.91,32.64,31.54,
219,7,2748,가산디지털단지,126.882704,37.480376,7,가산디지털단지,B4,상대식,109.59,81.82,27.77,26.67,1호선환승
220,7,2749,철산,126.868217,37.47616,7,철산,B2,상대식,115.05,98.52,16.53,15.43,
222,7,2751,천왕,126.838684,37.486699,7,천왕,B2,상대식,122.31,102.84,19.47,18.37,
223,7,2752,온수,126.823294,37.492059,7,온수,B2,섬식(복합),127.29,110.96,16.33,15.23,
224,8,2811,암사,127.127521,37.550127,8,암사,B2,상대식,116.48,101.39,15.09,13.99,
225,8,2813,강동구청,127.120461,37.530348,8,강동구청,B3,상대식,116.92,94.98,21.94,20.84,
226,8,2814,몽촌토성,127.11274,37.517692,8,몽촌토성,B3,상대식,114.64,95.04,19.6,18.5,
227,8,2816,석촌,127.106995,37.505396,8,석촌,B2,상대식,114.9,100.46,14.44,13.34,
228,8,2817,송파,127.11212,37.49978,8,송파,B2,상대식,116.24,100.34,15.9,14.8,
229,8,2819,문정,127.122473,37.485931,8,문정,B2,상대식,117.88,101.98,15.9,14.8,
230,8,2820,장지,127.126229,37.478609,8,장지,B2,상대식,119.68,105.6,14.08,12.98,
231,8,2821,복정,127.126746,37.471016,8,복정,B3,섬식,118.42,104.81,13.61,12.51,분당선환승
233,8,2822,산성,127.149927,37.456886,8,산성,B4,상대식,208.65,152.86,55.79,54.69,최대심도역
234,8,2823,남한산성입구,127.159845,37.451568,8,남한산성입구,B3,상대식,166.05,147.34,18.71,17.61,
235,8,2824,단대오거리,127.156735,37.445057,8,단대오거리,B3,상대식,153.71,139.5,14.21,13.11,
236,8,2825,신흥,127.14759,37.440952,8,신흥,B2,상대식,143.89,128.47,15.42,14.32,
237,8,2826,수진,127.140936,37.437575,8,수진,B2,상대식,137.63,122.76,14.87,13.77,
238,8,2827,모란,127.129921,37.433888,8,모란,B3,상대식,128.39,106.23,22.16,21.06,분당선환승
