,clust,법정동코드,code,읍면동주소,gu,lat,lng,color
319,1,11100,1168070000,세곡동,강남구,37.464369,127.104583,blue
320,1,11200,1168011200,자곡동,강남구,37.476796,127.100387,blue
321,1,11500,1168075000,수서동,강남구,37.485881,127.096706,blue
322,1,10400,1171010400,송파동,송파구,37.506058,127.111216,blue
323,1,10700,1171010700,가락동,송파구,37.496486,127.126006,blue
324,1,10800,1171010800,문정동,송파구,37.486581,127.127495,blue
325,1,10900,1171064600,장지동,송파구,37.477368,127.131914,blue
326,1,11000,1171011100,방이동,송파구,37.512017,127.116902,blue
327,1,11200,1171057000,오금동,송파구,37.50401,127.134003,blue
328,1,1174010100,1174010100,명일동,강동구,37.549276,127.147555,blue
329,1,10200,1174010200,고덕동,강동구,37.561068,127.160582,blue
330,1,10300,1174052000,상일동,강동구,37.550583,127.168797,blue
331,1,10600,1174010600,둔촌동,강동구,37.531157,127.142891,blue
332,1,11000,1174051500,강일동,강동구,37.567438,127.173364,blue
333,8,18300,1111056000,평창동,종로구,37.613029,126.974485,cadetblue
334,8,12900,1117012900,이촌동,용산구,37.524133,126.961987,cadetblue
335,8,13100,1117068500,한남동,용산구,37.537541,127.005165,cadetblue
336,8,11300,1120064500,옥수동,성동구,37.540788,127.020624,cadetblue
337,8,10400,1121581000,광장동,광진구,37.547835,127.104695,cadetblue
338,8,10200,1129052500,성북동,성북구,37.597248,126.992899,cadetblue
339,8,10200,1147010200,목동,양천구,37.539776,126.869079,cadetblue
340,8,11000,1156011000,여의도동,영등포구,37.524371,126.925958,cadetblue
341,8,1165010100,1165010100,방배동,서초구,37.484677,126.989955,cadetblue
342,8,10600,1165054000,잠원동,서초구,37.515102,127.009083,cadetblue
343,8,10700,1165010700,반포동,서초구,37.502816,127.010493,cadetblue
344,8,10800,1165010800,서초동,서초구,37.488514,127.016222,cadetblue
345,8,1168010100,1168010100,역삼동,강남구,37.500335,127.037596,cadetblue
346,8,10400,1168056500,청담동,강남구,37.524399,127.050457,cadetblue
347,8,10500,1162074500,삼성동,관악구,37.470135,126.933007,cadetblue
348,8,10600,1168010600,대치동,강남구,37.501711,127.057851,cadetblue
349,8,11000,1168054500,압구정동,강남구,37.530734,127.028461,cadetblue
350,8,11400,1168011400,일원동,강남구,37.491326,127.083799,cadetblue
351,8,11800,1168011800,도곡동,강남구,37.486509,127.040738,cadetblue
352,8,1171010100,1171010100,잠실동,송파구,37.506967,127.083673,cadetblue
353,8,10200,1171010200,신천동,송파구,37.517302,127.104967,cadetblue
